Paper_ID,Raw_Citations,Semantic_Score,Impact_Multiplier
None,106.0,126.79988,1.1962253
fe13f843c52243e096d7e1a52345a68eaf2cfef1,17.0,19.0,1.117647
8d588720ea1b676f8b3906b696e06cf64f5b766b,16.0,17.7,1.10625
21096eb950bdff77308ad3924d69b681589bdc91,17.0,17.7,1.0411766
60ed4bdabf92b2fbd6162dbd8979888cccca55d7,15.0,17.0,1.1333333
d55c95cedf9904a2776b682518c24b4d4d96bec7,17.0,17.0,1.0
efe167e81022b9fb2b41ea7de996515c26f94838,14.0,16.7,1.1928571
b0fe8d2727db77f58bc430fef29aba3308ecd3f2,16.0,16.2,1.0125
61ba484c3fd142d5ddf606eae1a549fe29594208,15.0,15.9,1.06
5af4e6e8d6e7a25cb37a9d52e87a1f28b4464e04,14.0,15.9,1.1357143
5e57b8879a83e91af5daef8737ccda0c9556fd7e,12.0,15.7,1.3083333
21aaceb3fc27e8cc831e25191d967daa0d8962bf,15.0,15.2,1.0133333
eb08d5a6852228a7b45deb22f1bf4dde945020c6,14.0,15.0,1.0714285
73f36294b5992a53e4f075e384fe30a13c629bb4,13.0,14.5,1.1153846
aa53d8ec6cbe937cec842ce1f02853895ba56c3f,12.0,14.5,1.2083334
9b191008e5ce88ef5fb79694fa7fb8d7ab10170b,13.0,14.2,1.0923077
841aba543847838da1e2310ed5339a546c5a2b2d,13.0,14.2,1.0923077
be59cc09630da876d2dfada6165711f5bd19506f,11.0,14.0,1.2727273
815bd94807ff43a3f3a4f361e5b21e3f7a63556d,13.0,13.5,1.0384616
9c7168cb9caf4dbb9c9e4455f4b0bc8a5304fab1,13.0,13.5,1.0384616
40c5741dc18ca03e625306b5bbf6622d097176a3,13.0,13.2,1.0153846
7348e48de2ad238df345015c6b9c42830bee728b,13.0,13.0,1.0
8f2cfced117e54b3e1ba97b0e43f34e0ec747952,11.0,13.0,1.1818181
4e3427bd6cc0dd0290be6c146b46bda6ad05403f,11.0,12.9,1.1727272
6d6bb93872a190de290f259e63587db4f17d539c,10.0,12.5,1.25
a4cf4bb41fb0b6fa978fd1456e86308218c8e882,11.0,12.5,1.1363636
01994833ad94026b07221b3ae0e57783c016b67d,12.0,12.4,1.0333333
0d10e553c0a46e7384b3c34dc45bb063843a8300,12.0,12.4,1.0333333
ced7e3c1f9c912dca5751664c86a7587b58b0854,11.0,12.299999,1.1181817
63daf1741972395162371e6e9bf12348828cfe44,10.0,12.0,1.2
548992f59f682a83a671e7f288f7aa574580d4a5,10.0,11.8,1.1800001
cb101cdbe7aac08d64577ea4ec526d1663a9899d,10.0,11.7,1.17
66cb6767c5ae25fa1177b12774cd506b8e9699ad,10.0,11.599999,1.16
09e15bb266da86d0a9525d2a94ac0b38f0b53b88,9.0,11.5,1.2777778
df90f3e882609d15c298251608a5b48b69efb3b8,11.0,11.2,1.0181818
8f01119d68d6a980ec1608e905be6e4f58cb328a,11.0,11.2,1.0181818
badee7f8b87dbf9d38775bebaad489d664fe0ef3,10.0,11.1,1.11
f05330eb7b43478aca0790b843a4d6ffb3043a94,10.0,11.0,1.1
e69c9d7bf9bb5f5c6e6fffb27630bbe831a7b833,11.0,11.0,1.0
14ae303b271f189e54ef5089b7b2d9dd22d54ce0,11.0,11.0,1.0
5b97f710fe7b89887740e292d1c5e2b9f1d65b1f,8.0,11.0,1.375
57220e5e1106b295bab12105c79f6307ab220e0f,10.0,10.9,1.0899999
7ffdab1930ccf68c10be4cf9a9ffdb933c9dd516,10.0,10.7,1.0699999
1e553964ccc8ccc090450aaebe1c87aaacf9ec83,10.0,10.7,1.0699999
